lambda,box,model,final_mse_mean,final_mse_std,violation_mean,violation_std,interval_drift_mean,interval_drift_std,mse_improvement,violation_improvement,interval_drift_improvement,p_mse,p_violation,p_interval_drift
0.0,2.0,euclidean_latent_predictor,9504.19287109375,158.50830078125,0.379375,0.3297916666666667,17.64881134033203,0.19991493225097656,,,,,,
0.0,2.0,chronos_latent_predictor,9532.455078125,163.5166015625,0.4188541666666667,0.2034375,17.64268207550049,0.20340824127197266,,,,,,
0.0,2.0,chronos_vs_euclid,9532.455078125,163.5166015625,0.4188541666666667,0.2034375,17.64268207550049,0.20340824127197266,-0.0029656931776001856,-1.6110174386692204,0.0003495774532336828,0.5,1.0,0.5
0.0,8.0,euclidean_latent_predictor,158287.8203125,5854.4453125,0.38302083333333337,0.32885416666666667,286.8254699707031,10.3099365234375,,,,,,
0.0,8.0,chronos_latent_predictor,158400.9921875,5878.6171875,0.42291666666666666,0.20249999999999996,286.9027099609375,10.306396484375,,,,,,
0.0,8.0,chronos_vs_euclid,158400.9921875,5878.6171875,0.42291666666666666,0.20249999999999996,286.9027099609375,10.306396484375,-0.0007102988409797286,-1.473889601736685,-0.00027008524699164625,0.5,1.0,0.5
0.0,32.0,euclidean_latent_predictor,2354152.25,181465.5,0.36885416666666676,0.3380208333333334,4264.087890625,317.26708984375,,,,,,
0.0,32.0,chronos_latent_predictor,2354605.625,181492.125,0.4136458333333334,0.20302083333333334,4264.439453125,317.400390625,,,,,,
0.0,32.0,chronos_vs_euclid,2354605.625,181492.125,0.4136458333333334,0.20302083333333334,4264.439453125,317.400390625,-0.000192859389330742,-2.8517327007761644,-8.056733758767017e-05,0.5,1.0,0.5
0.5,2.0,euclidean_latent_predictor,9504.19287109375,158.50830078125,0.379375,0.3297916666666667,17.64881134033203,0.19991493225097656,,,,,,
0.5,2.0,chronos_latent_predictor,9537.9482421875,156.375,0.7180208333333333,0.06364583333333335,17.64189338684082,0.20365333557128906,,,,,,
0.5,2.0,chronos_vs_euclid,9537.9482421875,156.375,0.7180208333333333,0.06364583333333335,17.64189338684082,0.20365333557128906,-0.003556362081537096,-7.343721918700963,0.0003944284343157091,0.5,1.0,0.5
0.5,8.0,euclidean_latent_predictor,158287.8203125,5854.4453125,0.38302083333333337,0.32885416666666667,286.8254699707031,10.3099365234375,,,,,,
0.5,8.0,chronos_latent_predictor,158411.484375,5861.359375,0.7161458333333333,0.05864583333333334,286.90492248535156,10.288742065429688,,,,,,
0.5,8.0,chronos_vs_euclid,158411.484375,5861.359375,0.7161458333333333,0.05864583333333334,286.90492248535156,10.288742065429688,-0.0007807131865998906,-6.613731680838955,-0.0002800243766750871,0.5,1.0,0.5
0.5,32.0,euclidean_latent_predictor,2354152.25,181465.5,0.36885416666666676,0.3380208333333334,4264.087890625,317.26708984375,,,,,,
0.5,32.0,chronos_latent_predictor,2354700.0,181610.75,0.7070833333333333,0.07166666666666677,4264.4864501953125,317.4847412109375,,,,,,
0.5,32.0,chronos_vs_euclid,2354700.0,181610.75,0.7070833333333333,0.07166666666666677,4264.4864501953125,317.4847412109375,-0.00022928034033372144,-12.077833137784685,-9.017025859394526e-05,0.5,1.0,0.5
